City Number,City,Latitudes,Longitudes,Temperature,Wind Speed,Cloudiness,Humidity
0,port alfred,-83.1160519583644,41.42323627767598,70.42,13.47,80,94
1,ushuaia,-72.72555526614062,-67.1579553633702,39.2,17.22,90,93
2,saint-augustin,55.5136254825411,-59.66948111412691,50.81,11.41,0,87
3,qaqortoq,56.78748193862725,-49.16125069079288,41.0,8.05,80,30
4,erdenet,48.23613512814245,104.9847222731857,25.06,4.74,0,47
5,mataura,-74.29228724396866,-164.57129456285267,61.15,25.55,12,62
7,kavaratti,11.640829007563028,69.61569417889052,84.91,5.97,24,100
8,nikolskoye,55.05439863652671,174.34307793926922,32.0,6.71,90,99
9,maua,1.125733771895142,38.862069069550984,59.62,2.17,76,91
10,albany,-54.42519322523796,121.33401723015243,32.67,4.7,75,40
11,tiznit,27.273738665030393,-9.723884389640318,57.46,2.62,92,97
13,punta arenas,-65.01075397018177,-111.62738539286426,41.0,14.99,0,80
14,kodiak,42.77649788446874,-161.44021774572008,32.0,6.93,90,96
15,guerrero negro,20.9906636385861,-123.88978071285231,57.46,8.77,0,93
16,ukmerge,55.351895652507494,24.740550430262573,30.2,9.17,90,86
17,chuy,-48.9238856734262,-39.54415377045828,66.82,4.18,76,98
18,grand-lahou,-0.5572186923342315,-4.226428610401172,78.79,6.64,24,89
19,conceicao do araguaia,-8.85444454555639,-50.3043974167428,73.03,3.96,20,96
20,cape town,-64.74603630409041,-9.983250536037758,64.4,14.99,0,77
22,swakopmund,-22.51591427815478,14.285290342410008,66.2,6.93,92,88
23,provideniya,61.41940530198161,-171.0230161183636,30.2,4.63,90,92
24,saint-georges,7.1991716022982075,-45.02701435205691,19.39,2.73,0,79
25,lisakovsk,51.93834042974939,63.03592095051684,17.32,4.29,0,64
27,hobart,-57.615111224182215,150.27539780246093,71.6,16.11,75,37
28,qasigiannguit,68.5643323956086,-50.82914732345205,12.2,10.29,0,85
31,puerto ayora,-4.787143356681568,-92.08776279359458,76.36,5.97,44,100
32,mount gambier,-46.035326850899175,133.79956347649448,68.17,4.29,0,66
33,havoysund,76.16383431209005,24.918903452949394,26.6,11.41,40,86
34,grindavik,57.436778882833636,-24.562449992909706,29.08,14.99,90,92
35,wahpeton,46.54045801722347,-96.70089891827294,26.24,6.93,90,92
36,codrington,25.463582564144275,-55.66095195019204,66.64,3.74,80,100
38,butaritari,5.677966241591037,170.2966569774972,82.84,11.68,100,100
39,dormont,40.430919557540534,-80.09029332387277,37.38,3.36,1,74
40,pevek,73.53884640607507,170.3934249050796,34.33,11.45,0,79
42,kahului,35.82995350908844,-144.4203156342619,73.36,24.16,90,88
43,port hawkesbury,41.018225594863026,-60.634204030196884,24.8,3.36,1,68
45,ankazoabo,-21.624161404552765,43.84241430511639,68.44,3.62,56,88
51,rikitea,-80.26719930533052,-126.08829600934416,78.97,4.74,0,100
52,vanimo,3.380721289337771,141.57236640894934,83.11,8.32,80,100
54,sioux lookout,52.60922866502321,-92.36831896577124,2.23,3.36,5,64
55,bethel,51.468260867812006,-160.71112345093712,33.8,23.04,1,69
56,busselton,-69.19572040727179,88.84666474088726,75.1,11.79,0,82
57,tiksi,73.67892983381589,123.31050036881692,13.09,5.97,24,89
58,dikson,81.36869382537034,73.18344805940771,0.94,17.83,36,83
59,kaeo,-29.491103429369545,175.6735073063697,75.37,2.51,8,48
61,yar-sale,75.1203676284413,68.74284062811171,-0.23,14.25,20,67
63,xinxiang,35.18669529921941,113.94975086728698,72.49,23.2,0,56
64,thompson,70.43843415453861,-97.52373755602594,-4.01,3.36,5,48
69,jamestown,-25.557484868451695,-17.000206217475636,71.59,7.54,0,42
71,valdivia,-40.25311883414182,-75.4559629607537,51.8,1.12,12,100
74,kapaa,37.2883986919864,-157.37560379283067,74.93,17.22,90,74
75,nadym,65.2349981091038,71.28837980016212,1.12,14.25,12,83
78,san cristobal,-10.157117865439702,-90.9346572580368,53.6,2.24,90,93
79,tuktoyaktuk,81.5315387719532,-123.6477397694398,-0.69,10.29,90,70
80,moron,48.99658502232779,101.64813076602479,77.0,5.82,40,83
81,bredasdorp,-59.67228714429596,21.865572525124037,57.2,2.24,68,93
84,juneau,59.57377280127815,-132.46059897590078,37.4,14.99,90,34
85,mackay,-21.313342501235113,149.2578235818729,23.02,8.05,20,44
86,hambantota,1.3470466832187071,82.87978579893797,83.11,6.42,24,100
87,wum,6.586927784739331,9.582182455165253,64.39,2.39,24,100
88,calvinia,-31.20342309255509,20.132744724752257,53.23,2.95,56,82
89,aykhal,69.28849723038203,108.00796279906183,8.05,6.87,8,70
91,jinchang,37.89134451158898,101.93509475607482,44.41,3.51,0,59
92,espeland,60.33547261096268,5.417967049435845,23.89,2.51,56,97
95,batemans bay,-39.65565433611097,153.74418823277034,67.72,3.18,36,87
98,boulder,39.892659034153866,-106.11360754185083,58.82,16.11,1,20
99,sambava,-12.28889133061594,56.58895350291985,76.27,10.45,92,100
100,kutum,17.77703941527939,26.629548278894447,52.06,7.31,0,26
102,ponta do sol,22.281209081445525,-30.915261789474556,65.65,2.84,68,94
103,tasiilaq,68.93577326831306,-42.311949105936975,17.6,11.34,64,85
104,muros,42.66435333748606,-11.673708230171172,48.2,11.41,75,93
105,lishui,28.475332945604094,119.54883718350538,70.24,2.62,88,66
106,moses lake,47.60001053929551,-118.72216724866571,48.2,13.87,20,29
107,zhuhai,19.975039250556932,113.73550882610334,35.6,11.18,40,64
108,ostrovnoy,78.45790027168857,43.545105828559144,25.69,19.51,92,94
109,avarua,-19.403640869143075,-159.02666137386464,80.6,5.82,75,78
111,torbay,44.69948496304491,-43.50037262897959,28.4,8.05,75,86
112,mar del plata,-46.67738029035205,-46.94262079345202,67.63,21.74,92,53
113,hay river,62.03006342360189,-117.56178301878231,-0.14,4.97,0,65
116,hermanus,-73.92271361774795,0.585212332791059,60.97,5.08,68,98
118,maltahohe,-25.246784148043645,16.015641481663465,61.78,6.2,92,83
120,narsaq,76.02147126456418,-64.27793092529672,41.0,8.05,20,30
123,lasa,29.204800474329772,91.1550324872984,54.61,6.93,80,87
124,anadyr,63.4370280293347,175.70322411452878,26.6,6.71,75,86
125,yuzhno-sukhokumsk,44.89387595087814,45.98726131472782,44.5,11.23,36,88
126,klaksvik,74.22444759232621,-2.997883980440264,28.4,14.99,80,86
128,isangel,-20.516408943188324,179.75484795889082,80.32,14.81,36,100
129,port elizabeth,-75.61603121574859,32.93253610326673,41.04,4.7,90,80
132,hilo,8.351868268301672,-143.62801597373698,67.91,16.37,90,61
134,lorengau,2.920804380962778,144.46000508400738,81.85,8.55,24,100
135,nanortalik,53.10553267633995,-40.21691690435651,32.98,23.42,32,100
136,kisangani,0.3804418044120865,25.692744805030287,71.77,2.51,0,100
